# Log start time:	 Thu, 17 Apr 2025 19:50:19
#          x     theta      time    ch1 counts    ch2 counts    coincidences

# Lateral Reset
# Rotational Reset
        4000,     9600,        5,         6707,         2937,             14
        6000,     9600,        5,         6784,         2903,             13
        8000,     9600,        5,         6894,         3057,              5
       10000,     9600,        5,         7037,         3013,             13
       12000,     9600,        5,         7059,         3150,             18
       14000,     9600,        5,         7209,         3224,             17
       16000,     9600,        5,         7384,         3286,             18
       18000,     9600,        5,         7440,         3312,             16
       20000,     9600,        5,         7617,         3311,             14
       22000,     9600,        5,         7727,         3376,             15
       24000,     9600,        5,         7819,         3603,             16
       26000,     9600,        5,         7699,         3608,             17
       28000,     9600,        5,         8076,         3687,             15
       30000,     9600,        5,         7962,         3711,             21
       32000,     9600,        5,         7981,         3748,             31
       34000,     9600,        5,         8232,         3783,             27
       36000,     9600,        5,         8275,         3926,             38
       38000,     9600,        5,         8309,         3946,             43
       40000,     9600,        5,         8421,         3992,             42
       42000,     9600,        5,         8600,         4177,             36
       44000,     9600,        5,         8454,         4204,             27
       46000,     9600,        5,         8739,         4054,             18
       48000,     9600,        5,         8574,         4218,             21
       50000,     9600,        5,         8806,         4256,             30
       52000,     9600,        5,         8690,         4321,             25
       54000,     9600,        5,         8832,         4297,             28
       56000,     9600,        5,         8768,         4318,             20
       58000,     9600,        5,         8875,         4253,             34
       60000,     9600,        5,         8649,         4284,             90
       62000,     9600,        5,         8920,         4377,            170
       64000,     9600,        5,         8926,         4219,            276
       66000,     9600,        5,         8922,         4362,            265
       68000,     9600,        5,         8810,         4417,            160
       70000,     9600,        5,         8837,         4380,             57
       72000,     9600,        5,         8870,         4423,             26
       74000,     9600,        5,         8770,         4315,             21
       76000,     9600,        5,         8801,         4142,             28
       78000,     9600,        5,         8746,         4335,             29
       80000,     9600,        5,         8670,         4262,             23
       82000,     9600,        5,         8709,         4095,             24
       84000,     9600,        5,         8643,         4268,             24
       86000,     9600,        5,         8518,         4026,             19
       88000,     9600,        5,         8308,         4058,             17
       90000,     9600,        5,         8317,         3898,             21
# Lateral Reset
        2000,    11200,        5,         6562,         3194,             17
        4000,    11200,        5,         6552,         3064,             11
        6000,    11200,        5,         6908,         3124,             11
        8000,    11200,        5,         6727,         3248,             19
       10000,    11200,        5,         6919,         3383,             12
       12000,    11200,        5,         6949,         3264,             11
       14000,    11200,        5,         6997,         3481,             16
       16000,    11200,        5,         6960,         3585,             14
       18000,    11200,        5,         7070,         3510,              9
       20000,    11200,        5,         7327,         3608,             11
       22000,    11200,        5,         7354,         3736,             12
       24000,    11200,        5,         7579,         3798,             19
       26000,    11200,        5,         7592,         4021,             15
       28000,    11200,        5,         7503,         4054,             22
       30000,    11200,        5,         7642,         4034,             21
       32000,    11200,        5,         7774,         4104,             21
       34000,    11200,        5,         7972,         4241,             23
       36000,    11200,        5,         7994,         4302,             33
       38000,    11200,        5,         8062,         4403,             36
       40000,    11200,        5,         8156,         4329,             57
       42000,    11200,        5,         8238,         4638,             33
       44000,    11200,        5,         8238,         4489,             27
       46000,    11200,        5,         8112,         4628,             22
       48000,    11200,        5,         8541,         4647,             21
       50000,    11200,        5,         8239,         4750,             21
       52000,    11200,        5,         8290,         4729,             20
       54000,    11200,        5,         8347,         4900,             38
       56000,    11200,        5,         8398,         4868,             66
       58000,    11200,        5,         8297,         4857,            156
       60000,    11200,        5,         8578,         4855,            222
       62000,    11200,        5,         8319,         4882,            258
       64000,    11200,        5,         8390,         4871,            232
       66000,    11200,        5,         8392,         5029,            147
       68000,    11200,        5,         8167,         4994,             75
       70000,    11200,        5,         8317,         5053,             38
       72000,    11200,        5,         8188,         4830,             27
       74000,    11200,        5,         8165,         4775,             19
       76000,    11200,        5,         8135,         4865,             28
       78000,    11200,        5,         7976,         4742,             17
       80000,    11200,        5,         8053,         4724,             29
       82000,    11200,        5,         7996,         4612,             22
       84000,    11200,        5,         7965,         4612,             18
       86000,    11200,        5,         7577,         4558,             20
       88000,    11200,        5,         7775,         4495,             29
       90000,    11200,        5,         7623,         4398,             26
# Lateral Reset
